BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0099,0.0306,0.075,1,4.374505925404213,1032000.0,3.0372e+06,0.00913,9.1115e+06,0.16438,0.6,0.1
1,0.004,0.0064,0.016,0.04,1,6.054002377565239,5502600.0,3.3468e+06,0.00062,1.0040e+07,0.01076,0.5,0.4
2,0.004,0.012,0.04,0.1,2,2.203826396655576,3140500.0,"2.4647e+07,1.6431e+07","0.03721,0.02480","7.3940e+07,4.9293e+07","0.89218,0.59479",0.8,0.1
3,0.004,0.008,0.024,0.07,1,6.57835234973083,48079000.0,2.5139e+08,0.00406,5.0278e+08,0.06483,0.6,0.1
4,0.004,0.012,0.04,0.1,2,2.1087661747469726,2412000.0,"1.8929e+07,1.2620e+07","0.03721,0.02480","5.6788e+07,3.7859e+07","0.89218,0.59479",0.8,0.1
5,0.004,0.012,0.04,0.1,2,2.1087679058100233,4505500.0,"3.5359e+07,2.3573e+07","0.03721,0.02480","1.0608e+08,7.0718e+07","0.89218,0.59479",0.8,0.1
6,0.004,0.0099,0.0306,0.075,1,4.617800526513348,144878.0487804878,4.2638e+05,0.00913,1.2791e+06,0.16438,0.6,0.1
7,0.004,0.0099,0.0306,0.075,2,2.217060967693453,2125000.0,"1.2508e+07,8.3385e+06","0.02790,0.01860","3.7523e+07,2.5016e+07","0.50229,0.33486",0.6,0.1
8,0.004,0.012,0.04,0.1,2,2.084099723240108,129916.66666666666,"1.0196e+06,6.7972e+05","0.03721,0.02480","3.0588e+06,2.0392e+06","0.89218,0.59479",0.8,0.1
9,0.005,0.01,0.03,0.08,1,7.516363000046364,1473076.923076923,5.7804e+06,0.00398,1.1561e+07,0.06323,0.5,0.0
10,0.004,0.0099,0.0306,0.075,1,4.16946191287589,355666.6666666667,1.0467e+06,0.00913,3.1402e+06,0.16438,0.6,0.1
11,0.004,0.0099,0.0306,0.075,1,4.1689799382717965,1100000.0,3.2373e+06,0.00913,9.7119e+06,0.16438,0.6,0.1
12,0.004,0.0069,0.0187,0.0525,1,6.170198023437481,8638400.0,2.2626e+07,0.00203,4.5253e+07,0.02447,0.4,0.1
13,0.004,0.012,0.04,0.1,2,1.9389501787956684,2545000.0,"1.9973e+07,1.3315e+07","0.03721,0.02480","5.9919e+07,3.9946e+07","0.89218,0.59479",0.8,0.1
14,0.004,0.012,0.04,0.1,1,3.9145954188781236,2157500.0,8.4660e+06,0.01218,2.5398e+07,0.29197,0.8,0.1
15,0.004,0.0099,0.0306,0.075,1,4.148901075048982,1145000.0,3.3697e+06,0.00913,1.0109e+07,0.16438,0.6,0.1
16,0.004,0.012,0.04,0.1,2,2.0282414521123493,3639000.0,"2.8559e+07,1.9039e+07","0.03721,0.02480","8.5677e+07,5.7118e+07","0.89218,0.59479",0.8,0.1
17,0.004,0.012,0.04,0.1,2,2.1673886602116634,1773000.0,"1.3915e+07,9.2763e+06","0.03721,0.02480","4.1744e+07,2.7829e+07","0.89218,0.59479",0.8,0.1
18,0.004,0.012,0.04,0.1,1,4.077796099051221,3300500.0,1.2951e+07,0.01218,3.8853e+07,0.29197,0.8,0.1
19,0.004,0.012,0.04,0.1,2,1.9881320087447072,757000.0,"5.9409e+06,3.9606e+06","0.03721,0.02480","1.7823e+07,1.1882e+07","0.89218,0.59479",0.8,0.1
20,0.004,0.012,0.04,0.1,1,4.591654023625513,1475000.0,5.7879e+06,0.01218,1.7364e+07,0.29197,0.8,0.1
21,0.004,0.012,0.04,0.1,1,4.219299248583626,977500.0,3.8357e+06,0.01218,1.1507e+07,0.29197,0.8,0.1
22,0.004,0.012,0.04,0.1,2,2.1408160842511,2769500.0,"2.1735e+07,1.4490e+07","0.03721,0.02480","6.5205e+07,4.3470e+07","0.89218,0.59479",0.8,0.1
23,0.004,0.012,0.04,0.1,2,1.9868953295945506,2710000.0,"2.1268e+07,1.4179e+07","0.03721,0.02480","6.3804e+07,4.2536e+07","0.89218,0.59479",0.8,0.1
24,0.004,0.0099,0.0306,0.075,2,2.076308500650422,1634000.0,"9.6177e+06,6.4118e+06","0.02790,0.01860","2.8853e+07,1.9235e+07","0.50229,0.33486",0.6,0.1
25,0.004,0.0099,0.0306,0.075,1,4.290932193817834,1240000.0,3.6493e+06,0.00913,1.0948e+07,0.16438,0.6,0.1
26,0.004,0.0099,0.0306,0.075,1,4.028556791532012,1015000.0,2.9871e+06,0.00913,8.9614e+06,0.16438,0.6,0.1
27,0.004,0.0099,0.0306,0.075,1,4.348116554502082,1219000.0,3.5875e+06,0.00913,1.0763e+07,0.16438,0.6,0.1
28,0.004,0.012,0.04,0.1,2,2.0704764697009215,2520000.0,"1.9777e+07,1.3185e+07","0.03721,0.02480","5.9331e+07,3.9554e+07","0.89218,0.59479",0.8,0.1
29,0.004,0.01,0.03,0.08,3,2.002578984695712,10970000.0,"1.2914e+08,1.0762e+08,6.4569e+07","0.01628,0.01357,0.00814","3.2285e+08,2.6904e+08,1.6142e+08","0.32523,0.27102,0.16261",0.6,0.4
30,0.004,0.012,0.04,0.1,1,4.140731834503412,5227000.0,2.0511e+07,0.01218,6.1532e+07,0.29197,0.8,0.1
31,0.004,0.0099,0.0306,0.075,2,2.340640484192975,3261000.0,"1.9194e+07,1.2796e+07","0.02790,0.01860","5.7583e+07,3.8388e+07","0.50229,0.33486",0.6,0.1
32,0.004,0.012,0.04,0.1,2,2.132160601816606,5112000.0,"4.0119e+07,2.6746e+07","0.03721,0.02480","1.2036e+08,8.0238e+07","0.89218,0.59479",0.8,0.1
33,0.004,0.012,0.04,0.1,2,2.0236952004821975,2514000.0,"1.9730e+07,1.3153e+07","0.03721,0.02480","5.9190e+07,3.9460e+07","0.89218,0.59479",0.8,0.1
34,0.004,0.012,0.04,0.1,2,2.2231785240910384,2005000.0,"1.5735e+07,1.0490e+07","0.03721,0.02480","4.7206e+07,3.1470e+07","0.89218,0.59479",0.8,0.1
35,0.004,0.012,0.04,0.1,1,4.014511583071465,1139000.0,4.4694e+06,0.01218,1.3408e+07,0.29197,0.8,0.1
36,0.004,0.012,0.04,0.1,1,4.311996639181744,1245000.0,4.8854e+06,0.01218,1.4656e+07,0.29197,0.8,0.1
37,0.004,0.012,0.04,0.1,1,3.8689160147226938,1441000.0,5.6545e+06,0.01218,1.6963e+07,0.29197,0.8,0.1
38,0.004,0.012,0.04,0.1,1,3.9930229355368603,1482000.0,5.8154e+06,0.01218,1.7446e+07,0.29197,0.8,0.1
39,0.004,0.012,0.04,0.1,2,2.154704854439146,2496000.0,"1.9589e+07,1.3059e+07","0.03721,0.02480","5.8766e+07,3.9177e+07","0.89218,0.59479",0.8,0.1
40,0.004,0.0099,0.0306,0.075,2,2.2138520844994463,2226000.0,"1.3102e+07,8.7348e+06","0.02790,0.01860","3.9307e+07,2.6204e+07","0.50229,0.33486",0.6,0.1
41,0.004,0.0099,0.0306,0.075,2,2.151960114439019,1980000.0,"1.1654e+07,7.7695e+06","0.02790,0.01860","3.4963e+07,2.3309e+07","0.50229,0.33486",0.6,0.1
42,0.004,0.0099,0.0306,0.075,1,4.24259648488045,1396000.0,4.1084e+06,0.00913,1.2325e+07,0.16438,0.6,0.1
