BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0099,0.0306,0.075,1,4.374505925404213,1934000.0,5.6918e+06,0.00913,1.7075e+07,0.16438,0.6,0.1
1,0.004,0.0099,0.0306,0.075,1,4.237801664295667,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
2,0.004,0.0099,0.0306,0.075,1,4.407652793311152,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
3,0.004,0.0099,0.0306,0.075,1,4.604846644811581,2462500.0,7.2471e+06,0.00913,2.1741e+07,0.16438,0.6,0.1
4,0.004,0.0099,0.0306,0.075,1,4.217532349493945,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
5,0.004,0.012,0.04,0.1,1,4.2175358116200465,2140000.0,8.3974e+06,0.01218,2.5192e+07,0.29197,0.8,0.1
6,0.004,0.0099,0.0306,0.075,1,4.617800526513348,2037500.0,5.9964e+06,0.00913,1.7989e+07,0.16438,0.6,0.1
7,0.004,0.0099,0.0306,0.075,1,4.434121935386906,1485000.0,4.3704e+06,0.00913,1.3111e+07,0.16438,0.6,0.1
8,0.004,0.0099,0.0306,0.075,1,4.168199446480216,2042500.0,6.0111e+06,0.00913,1.8033e+07,0.16438,0.6,0.1
9,0.004,0.0099,0.0306,0.075,1,4.384545083360379,2704000.0,7.9579e+06,0.00913,2.3874e+07,0.16438,0.6,0.1
10,0.004,0.0099,0.0306,0.075,1,4.16946191287589,2572500.0,7.5709e+06,0.00913,2.2713e+07,0.16438,0.6,0.1
11,0.004,0.012,0.04,0.1,1,4.1689799382717965,3800000.0,1.4911e+07,0.01218,4.4734e+07,0.29197,0.8,0.1
12,0.004,0.0099,0.0306,0.075,1,4.319138616406237,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
13,0.004,0.0099,0.0306,0.075,1,3.877900357591337,1018333.3333333334,2.9970e+06,0.00913,8.9909e+06,0.16438,0.6,0.1
14,0.004,0.0099,0.0306,0.075,1,3.9145954188781236,2917500.0,8.5862e+06,0.00913,2.5759e+07,0.16438,0.6,0.1
15,0.004,0.0099,0.0306,0.075,1,4.148901075048982,1512500.0,4.4513e+06,0.00913,1.3354e+07,0.16438,0.6,0.1
16,0.004,0.012,0.04,0.1,1,4.056482904224699,2280000.0,8.9467e+06,0.01218,2.6840e+07,0.29197,0.8,0.1
17,0.004,0.0099,0.0306,0.075,1,4.334777320423327,870000.0,2.5604e+06,0.00913,7.6812e+06,0.16438,0.6,0.1
