BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.006,0.012,0.03,0.08,1,7.5041733446628145,1395133.3333333335,3.4216e+06,0.00388,1.0265e+07,0.09355,1.0,0.0
1,0.006,0.012,0.03,0.08,3,2.3695801418221265,1105000.0,"8.1300e+06,6.7750e+06,4.0650e+06","0.02076,0.01730,0.01038","2.4390e+07,2.0325e+07,1.2195e+07","0.50030,0.41691,0.25015",1.0,0.0
2,0.004,0.008,0.024,0.07,1,6.146911506931298,12686600.0,6.6335e+07,0.00406,1.3267e+08,0.06483,0.6,0.1
3,0.004,0.012,0.04,0.1,1,7.781620633081272,7774666.666666667,3.0508e+07,0.00398,7.6269e+07,0.07908,0.6,0.1
4,0.004,0.0099,0.0306,0.075,1,4.732507843168128,1130000.0,3.3256e+06,0.00913,9.9768e+06,0.16438,0.6,0.1
5,0.004,0.0099,0.0306,0.075,1,4.45343781431334,1573000.0,4.6293e+06,0.00913,1.3888e+07,0.16438,0.6,0.1
6,0.004,0.0099,0.0306,0.075,1,4.683734954127709,1343000.0,3.9524e+06,0.00913,1.1857e+07,0.16438,0.6,0.1
7,0.004,0.0099,0.0306,0.075,1,4.135007589425807,1265000.0,3.7229e+06,0.00913,1.1169e+07,0.16438,0.6,0.1
8,0.004,0.0099,0.0306,0.075,1,4.419612343039409,1366000.0,4.0201e+06,0.00913,1.2060e+07,0.16438,0.6,0.1
9,0.004,0.0099,0.0306,0.075,1,4.562559910426018,2260000.0,6.6512e+06,0.00913,1.9954e+07,0.16438,0.6,0.1
10,0.004,0.0099,0.0306,0.075,2,2.040090209531613,1706000.0,"1.0042e+07,6.6943e+06","0.02790,0.01860","3.0125e+07,2.0083e+07","0.50229,0.33486",0.6,0.1
11,0.004,0.0099,0.0306,0.075,2,2.0824210606363165,3546000.0,"2.0872e+07,1.3915e+07","0.02790,0.01860","6.2615e+07,4.1744e+07","0.50229,0.33486",0.6,0.1
12,0.004,0.012,0.04,0.1,1,4.654586662769916,250800.0,9.8414e+05,0.01218,2.9524e+06,0.29197,0.8,0.1
13,0.004,0.0099,0.0306,0.075,1,4.064143142209484,1308000.0,3.8494e+06,0.00913,1.1548e+07,0.16438,0.6,0.1
14,0.004,0.0099,0.0306,0.075,1,3.9904394904278235,4300000.0,1.2655e+07,0.00913,3.7965e+07,0.16438,0.6,0.1
15,0.004,0.012,0.04,0.1,2,2.302993440441447,1911000.0,"1.4998e+07,9.9984e+06","0.03721,0.02480","4.4993e+07,2.9995e+07","0.89218,0.59479",0.8,0.1
16,0.004,0.0099,0.0306,0.075,2,2.2651678341101604,1840000.0,"1.0830e+07,7.2202e+06","0.02790,0.01860","3.2491e+07,2.1660e+07","0.50229,0.33486",0.6,0.1
17,0.004,0.0099,0.0306,0.075,1,4.3604003940612905,1269000.0,3.7347e+06,0.00913,1.1204e+07,0.16438,0.6,0.1
18,0.004,0.012,0.04,0.1,1,4.257458290152116,1787000.0,7.0122e+06,0.01218,2.1037e+07,0.29197,0.8,0.1
19,0.004,0.0099,0.0306,0.075,1,4.174654703630904,1268000.0,3.7317e+06,0.00913,1.1195e+07,0.16438,0.6,0.1
20,0.004,0.0099,0.0306,0.075,1,4.32778263854804,634500.0,1.8673e+06,0.00913,5.6020e+06,0.16438,0.6,0.1
21,0.004,0.0099,0.0306,0.075,1,4.617937709988583,634500.0,1.8673e+06,0.00913,5.6020e+06,0.16438,0.6,0.1
22,0.004,0.012,0.04,0.1,2,2.1592026287652284,2713000.0,"2.1292e+07,1.4194e+07","0.03721,0.02480","6.3875e+07,4.2583e+07","0.89218,0.59479",0.8,0.1
23,0.004,0.0099,0.0306,0.075,1,4.755518997631094,1779000.0,5.2356e+06,0.00913,1.5707e+07,0.16438,0.6,0.1
24,0.004,0.0099,0.0306,0.075,1,4.079852252605149,1120000.0,3.2962e+06,0.00913,9.8885e+06,0.16438,0.6,0.1
25,0.004,0.012,0.04,0.1,2,2.1315014898041884,2125000.0,"1.6677e+07,1.1118e+07","0.03721,0.02480","5.0031e+07,3.3354e+07","0.89218,0.59479",0.8,0.1
26,0.004,0.0099,0.0306,0.075,1,4.188341956010514,480000.0,1.4126e+06,0.00913,4.2379e+06,0.16438,0.6,0.1
27,0.004,0.0099,0.0306,0.075,1,4.04184308575898,997000.0,2.9342e+06,0.00913,8.8025e+06,0.16438,0.6,0.1
28,0.004,0.0099,0.0306,0.075,1,4.234662736721915,960000.0,2.8253e+06,0.00913,8.4758e+06,0.16438,0.6,0.1
29,0.004,0.0099,0.0306,0.075,1,4.357176864647393,1698000.0,4.9972e+06,0.00913,1.4992e+07,0.16438,0.6,0.1
30,0.004,0.0099,0.0306,0.075,1,4.380528518544917,988000.0,2.9077e+06,0.00913,8.7231e+06,0.16438,0.6,0.1
31,0.004,0.0099,0.0306,0.075,1,4.756349600556296,964000.0,2.8371e+06,0.00913,8.5112e+06,0.16438,0.6,0.1
32,0.004,0.0099,0.0306,0.075,1,4.367458443023425,1038500.0,3.0563e+06,0.00913,9.1689e+06,0.16438,0.6,0.1
33,0.004,0.0099,0.0306,0.075,2,2.259893151501002,586666.6666666666,"3.4531e+06,2.3021e+06","0.02790,0.01860","1.0359e+07,6.9062e+06","0.50229,0.33486",0.6,0.1
34,0.004,0.0099,0.0306,0.075,2,2.1406625976943388,1251000.0,"7.3634e+06,4.9089e+06","0.02790,0.01860","2.2090e+07,1.4727e+07","0.50229,0.33486",0.6,0.1
35,0.004,0.0099,0.0306,0.075,1,4.640678827038557,1572000.0,4.6264e+06,0.00913,1.3879e+07,0.16438,0.6,0.1
36,0.004,0.012,0.04,0.1,2,2.4054407677157923,1906000.0,"1.4958e+07,9.9722e+06","0.03721,0.02480","4.4875e+07,2.9917e+07","0.89218,0.59479",0.8,0.1
37,0.004,0.0099,0.0306,0.075,1,4.382030191300222,1280000.0,3.7670e+06,0.00913,1.1301e+07,0.16438,0.6,0.1
38,0.004,0.012,0.04,0.1,1,4.060576358147202,4545000.0,1.7835e+07,0.01218,5.3504e+07,0.29197,0.8,0.1
39,0.004,0.012,0.04,0.1,1,4.151698897262531,1167000.0,4.5793e+06,0.01218,1.3738e+07,0.29197,0.8,0.1
40,0.004,0.012,0.04,0.1,1,4.327779485628861,1660000.0,6.5138e+06,0.01218,1.9542e+07,0.29197,0.8,0.1
41,0.004,0.012,0.04,0.1,1,4.365718481015535,2183000.0,8.5661e+06,0.01218,2.5698e+07,0.29197,0.8,0.1
42,0.004,0.0099,0.0306,0.075,1,4.418848453065379,1536000.0,4.5204e+06,0.00913,1.3561e+07,0.16438,0.6,0.1
43,0.004,0.012,0.04,0.1,2,2.183263068177738,2550000.0,"2.0012e+07,1.3342e+07","0.03721,0.02480","6.0037e+07,4.0025e+07","0.89218,0.59479",0.8,0.1
44,0.004,0.012,0.04,0.1,1,4.268690562003486,1944000.0,7.6283e+06,0.01218,2.2885e+07,0.29197,0.8,0.1
45,0.004,0.0099,0.0306,0.075,1,4.13359691796695,1036000.0,3.0489e+06,0.00913,9.1468e+06,0.16438,0.6,0.1
