BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0069,0.0187,0.0525,1,6.249294179148876,418509.3470115792,1.0962e+06,0.00203,2.1924e+06,0.02447,0.4,0.1
1,0.005,0.0087,0.0233,0.06,1,6.054002377565239,194317.40854105155,2.3828e+05,0.00124,7.1485e+05,0.02187,0.5,0.4
2,0.004,0.0099,0.0306,0.075,1,4.407652793311152,560337.536902657,1.6491e+06,0.00913,4.9472e+06,0.16438,0.6,0.1
3,0.004,0.0069,0.0187,0.0525,1,6.57835234973083,592726.0803650654,1.5525e+06,0.00203,3.1050e+06,0.02447,0.4,0.1
4,0.004,0.0099,0.0306,0.075,1,4.217532349493945,298891.50208092056,8.7964e+05,0.00913,2.6389e+06,0.16438,0.6,0.1
5,0.004,0.0069,0.0187,0.0525,3,2.008350386485737,194296.27393757558,"1.5267e+06,1.2723e+06,7.6337e+05","0.01087,0.00905,0.00543","3.0535e+06,2.5446e+06,1.5267e+06","0.13084,0.10903,0.06542",0.4,0.1
6,0.004,0.0069,0.0187,0.0525,1,6.5968578950190695,239142.17652478884,6.2638e+05,0.00203,1.2528e+06,0.02447,0.4,0.1
7,0.004,0.0069,0.0187,0.0525,1,6.334459907695581,249109.34546557014,6.5248e+05,0.00203,1.3050e+06,0.02447,0.4,0.1
8,0.004,0.0069,0.0187,0.0525,1,5.954570637828881,522969.65869675647,1.3698e+06,0.00203,2.7396e+06,0.02447,0.4,0.1
9,0.004,0.0099,0.0306,0.075,1,4.384545083360379,269010.54650832864,7.9170e+05,0.00913,2.3751e+06,0.16438,0.6,0.1
10,0.004,0.0069,0.0187,0.0525,1,5.956374161251271,410999.29635255435,1.0765e+06,0.00203,2.1530e+06,0.02447,0.4,0.1
11,0.004,0.0069,0.0187,0.0525,1,5.955685626102567,313853.34706678544,8.2207e+05,0.00203,1.6441e+06,0.02447,0.4,0.1
12,0.004,0.0069,0.0187,0.0525,1,6.170198023437481,274006.6110745416,7.1770e+05,0.00203,1.4354e+06,0.02447,0.4,0.1
13,0.004,0.0069,0.0187,0.0525,1,5.53985765370191,274015.3397713273,7.1772e+05,0.00203,1.4354e+06,0.02447,0.4,0.1
14,0.004,0.0099,0.0306,0.075,1,3.9145954188781236,383622.4624087097,1.1290e+06,0.00913,3.3870e+06,0.16438,0.6,0.1
15,0.004,0.0099,0.0306,0.075,1,4.148901075048982,279010.145496171,8.2113e+05,0.00913,2.4634e+06,0.16438,0.6,0.1
16,0.004,0.0069,0.0187,0.0525,1,5.794975577463856,348768.95906668773,9.1352e+05,0.00203,1.8270e+06,0.02447,0.4,0.1
17,0.004,0.0099,0.0306,0.075,1,4.334777320423327,762045.1824512959,2.2427e+06,0.00913,6.7281e+06,0.16438,0.6,0.1
18,0.004,0.0099,0.0306,0.075,1,4.077796099051221,518035.78842217464,1.5246e+06,0.00913,4.5737e+06,0.16438,0.6,0.1
19,0.004,0.0099,0.0306,0.075,2,1.9881320087447072,537987.6907958797,"3.1666e+06,2.1111e+06","0.02790,0.01860","9.4998e+06,6.3332e+06","0.50229,0.33486",0.6,0.1
20,0.004,0.0099,0.0306,0.075,1,4.591654023625513,301390.19645506307,8.8699e+05,0.00913,2.6610e+06,0.16438,0.6,0.1
