BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0099,0.0306,0.075,2,2.1872529627021065,2157000.0,"1.2696e+07,8.4641e+06","0.02790,0.01860","3.8088e+07,2.5392e+07","0.50229,0.33486",0.6,0.1
1,0.004,0.0099,0.0306,0.075,1,4.237801664295667,650000.0,1.9130e+06,0.00913,5.7388e+06,0.16438,0.6,0.1
2,0.004,0.0099,0.0306,0.075,1,4.407652793311152,1255000.0,3.6935e+06,0.00913,1.1080e+07,0.16438,0.6,0.1
3,0.004,0.0099,0.0306,0.075,2,2.3024233224057906,3908000.0,"2.3002e+07,1.5335e+07","0.02790,0.01860","6.9007e+07,4.6005e+07","0.50229,0.33486",0.6,0.1
4,0.004,0.0099,0.0306,0.075,1,4.217532349493945,1180000.0,3.4727e+06,0.00913,1.0418e+07,0.16438,0.6,0.1
5,0.004,0.0099,0.0306,0.075,2,2.1087679058100233,2411500.0,"1.4194e+07,9.4627e+06","0.02790,0.01860","4.2582e+07,2.8388e+07","0.50229,0.33486",0.6,0.1
6,0.004,0.0099,0.0306,0.075,2,2.308900263256674,2764500.0,"1.6272e+07,1.0848e+07","0.02790,0.01860","4.8816e+07,3.2544e+07","0.50229,0.33486",0.6,0.1
7,0.004,0.0099,0.0306,0.075,2,2.217060967693453,2867500.0,"1.6878e+07,1.1252e+07","0.02790,0.01860","5.0634e+07,3.3756e+07","0.50229,0.33486",0.6,0.1
8,0.004,0.0099,0.0306,0.075,1,4.168199446480216,2197000.0,6.4658e+06,0.00913,1.9397e+07,0.16438,0.6,0.1
9,0.004,0.0099,0.0306,0.075,1,4.384545083360379,1444000.0,4.2497e+06,0.00913,1.2749e+07,0.16438,0.6,0.1
10,0.004,0.0099,0.0306,0.075,1,4.16946191287589,608000.0,1.7893e+06,0.00913,5.3680e+06,0.16438,0.6,0.1
11,0.004,0.0099,0.0306,0.075,1,4.1689799382717965,4497000.0,1.3235e+07,0.00913,3.9704e+07,0.16438,0.6,0.1
12,0.004,0.0099,0.0306,0.075,1,4.319138616406237,1330000.0,3.9142e+06,0.00913,1.1743e+07,0.16438,0.6,0.1
13,0.004,0.0099,0.0306,0.075,1,3.877900357591337,1505000.0,4.4292e+06,0.00913,1.3288e+07,0.16438,0.6,0.1
14,0.004,0.0099,0.0306,0.075,2,1.9572977094390618,1591000.0,"9.3646e+06,6.2431e+06","0.02790,0.01860","2.8094e+07,1.8729e+07","0.50229,0.33486",0.6,0.1
15,0.004,0.0099,0.0306,0.075,1,4.148901075048982,1110000.0,3.2667e+06,0.00913,9.8002e+06,0.16438,0.6,0.1
16,0.004,0.0099,0.0306,0.075,2,2.0282414521123493,2545000.0,"1.4980e+07,9.9866e+06","0.02790,0.01860","4.4940e+07,2.9960e+07","0.50229,0.33486",0.6,0.1
17,0.004,0.0099,0.0306,0.075,1,4.334777320423327,3074500.0,9.0483e+06,0.00913,2.7145e+07,0.16438,0.6,0.1
18,0.004,0.0099,0.0306,0.075,2,2.0388980495256104,1725500.0,"1.0156e+07,6.7709e+06","0.02790,0.01860","3.0469e+07,2.0313e+07","0.50229,0.33486",0.6,0.1
19,0.004,0.0099,0.0306,0.075,2,1.9881320087447072,1021000.0,"6.0096e+06,4.0064e+06","0.02790,0.01860","1.8029e+07,1.2019e+07","0.50229,0.33486",0.6,0.1
20,0.004,0.0099,0.0306,0.075,2,2.2958270118127566,3335000.0,"1.9630e+07,1.3087e+07","0.02790,0.01860","5.8889e+07,3.9260e+07","0.50229,0.33486",0.6,0.1
21,0.004,0.0099,0.0306,0.075,2,2.109649624291813,2784000.0,"1.6387e+07,1.0924e+07","0.02790,0.01860","4.9160e+07,3.2773e+07","0.50229,0.33486",0.6,0.1
22,0.004,0.0099,0.0306,0.075,1,4.2816321685022,3151000.0,9.2734e+06,0.00913,2.7820e+07,0.16438,0.6,0.1
23,0.004,0.0099,0.0306,0.075,2,1.9868953295945506,1956000.0,"1.1513e+07,7.6753e+06","0.02790,0.01860","3.4539e+07,2.3026e+07","0.50229,0.33486",0.6,0.1
24,0.004,0.0099,0.0306,0.075,2,2.076308500650422,2397000.0,"1.4109e+07,9.4058e+06","0.02790,0.01860","4.2326e+07,2.8217e+07","0.50229,0.33486",0.6,0.1
25,0.004,0.0099,0.0306,0.075,2,2.145466096908917,2147000.0,"1.2637e+07,8.4248e+06","0.02790,0.01860","3.7912e+07,2.5274e+07","0.50229,0.33486",0.6,0.1
26,0.004,0.0099,0.0306,0.075,2,2.014278395766006,1796000.0,"1.0571e+07,7.0475e+06","0.02790,0.01860","3.1714e+07,2.1143e+07","0.50229,0.33486",0.6,0.1
27,0.004,0.0099,0.0306,0.075,2,2.174058277251041,2125000.0,"1.2508e+07,8.3385e+06","0.02790,0.01860","3.7523e+07,2.5016e+07","0.50229,0.33486",0.6,0.1
28,0.004,0.0099,0.0306,0.075,1,4.140952939401843,1632000.0,4.8030e+06,0.00913,1.4409e+07,0.16438,0.6,0.1
29,0.004,0.0099,0.0306,0.075,1,4.205415867860995,2121000.0,6.2421e+06,0.00913,1.8726e+07,0.16438,0.6,0.1
30,0.004,0.0099,0.0306,0.075,2,2.070365917251706,3162000.0,"1.8612e+07,1.2408e+07","0.02790,0.01860","5.5835e+07,3.7223e+07","0.50229,0.33486",0.6,0.1
31,0.004,0.0099,0.0306,0.075,1,4.68128096838595,1286000.0,3.7847e+06,0.00913,1.1354e+07,0.16438,0.6,0.1
32,0.004,0.0099,0.0306,0.075,2,2.132160601816606,1952000.0,"1.1489e+07,7.6596e+06","0.02790,0.01860","3.4468e+07,2.2979e+07","0.50229,0.33486",0.6,0.1
33,0.004,0.0099,0.0306,0.075,2,2.0236952004821975,2740000.0,"1.6128e+07,1.0752e+07","0.02790,0.01860","4.8383e+07,3.2255e+07","0.50229,0.33486",0.6,0.1
34,0.004,0.0099,0.0306,0.075,1,4.446357048182077,1642000.0,4.8324e+06,0.00913,1.4497e+07,0.16438,0.6,0.1
35,0.004,0.0099,0.0306,0.075,1,4.014511583071465,1590000.0,4.6794e+06,0.00913,1.4038e+07,0.16438,0.6,0.1
36,0.004,0.012,0.04,0.1,2,2.155998319590872,1723500.0,"1.3526e+07,9.0174e+06","0.03721,0.02480","4.0578e+07,2.7052e+07","0.89218,0.59479",0.8,0.1
37,0.004,0.0099,0.0306,0.075,2,1.9344580073613469,2853000.0,"1.6793e+07,1.1195e+07","0.02790,0.01860","5.0378e+07,3.3586e+07","0.50229,0.33486",0.6,0.1
38,0.004,0.0099,0.0306,0.075,1,3.9930229355368603,2051500.0,6.0376e+06,0.00913,1.8113e+07,0.16438,0.6,0.1
39,0.004,0.0099,0.0306,0.075,1,4.309409708878292,1479333.3333333333,4.3537e+06,0.00913,1.3061e+07,0.16438,0.6,0.1
40,0.004,0.0099,0.0306,0.075,2,2.2138520844994463,1887000.0,"1.1107e+07,7.4046e+06","0.02790,0.01860","3.3321e+07,2.2214e+07","0.50229,0.33486",0.6,0.1
41,0.004,0.0099,0.0306,0.075,1,4.303920228878038,1508000.0,4.4380e+06,0.00913,1.3314e+07,0.16438,0.6,0.1
42,0.004,0.0099,0.0306,0.075,2,2.121298242440225,2494000.0,"1.4680e+07,9.7865e+06","0.02790,0.01860","4.4039e+07,2.9359e+07","0.50229,0.33486",0.6,0.1
43,0.004,0.0099,0.0306,0.075,1,4.203437696491307,1015666.6666666669,2.9891e+06,0.00913,8.9673e+06,0.16438,0.6,0.1
44,0.004,0.0099,0.0306,0.075,1,3.963120717667737,411333.3333333333,1.2106e+06,0.00913,3.6317e+06,0.16438,0.6,0.1
45,0.0048,0.0076,0.0162,0.04,3,2.3521972141868828,2644500.0,"4.8253e+06,4.0211e+06,2.4127e+06","0.00515,0.00429,0.00257","1.4476e+07,1.2063e+07,7.2380e+06","0.09369,0.07807,0.04684",1.0,0.0
46,0.004,0.0099,0.0306,0.075,2,2.085020641783392,1670000.0,"9.8296e+06,6.5531e+06","0.02790,0.01860","2.9489e+07,1.9659e+07","0.50229,0.33486",0.6,0.1
47,0.004,0.0099,0.0306,0.075,1,4.498814806514645,1601000.0,4.7117e+06,0.00913,1.4135e+07,0.16438,0.6,0.1
48,0.004,0.0099,0.0306,0.075,2,2.170573912441029,2153000.0,"1.2673e+07,8.4484e+06","0.02790,0.01860","3.8018e+07,2.5345e+07","0.50229,0.33486",0.6,0.1
49,0.004,0.0099,0.0306,0.075,1,3.9071408522508366,1910000.0,5.6211e+06,0.00913,1.6863e+07,0.16438,0.6,0.1
50,0.004,0.0099,0.0306,0.075,2,2.1684549131514372,1136500.0,"6.6894e+06,4.4596e+06","0.02790,0.01860","2.0068e+07,1.3379e+07","0.50229,0.33486",0.6,0.1
51,0.004,0.0099,0.0306,0.075,2,2.092912381321299,3270000.0,"1.9247e+07,1.2831e+07","0.02790,0.01860","5.7742e+07,3.8494e+07","0.50229,0.33486",0.6,0.1
52,0.004,0.0099,0.0306,0.075,2,2.062594371111512,4064000.0,"2.3921e+07,1.5947e+07","0.02790,0.01860","7.1762e+07,4.7841e+07","0.50229,0.33486",0.6,0.1
53,0.004,0.0099,0.0306,0.075,2,2.199861729864895,2532000.0,"1.4903e+07,9.9356e+06","0.02790,0.01860","4.4710e+07,2.9807e+07","0.50229,0.33486",0.6,0.1
54,0.004,0.0099,0.0306,0.075,2,2.2464712909971274,2015000.0,"1.1860e+07,7.9069e+06","0.02790,0.01860","3.5581e+07,2.3721e+07","0.50229,0.33486",0.6,0.1
55,0.004,0.0099,0.0306,0.075,1,4.4705966586561345,2562000.0,7.5400e+06,0.00913,2.2620e+07,0.16438,0.6,0.1
56,0.004,0.0099,0.0306,0.075,1,4.091849213376598,3778000.0,1.1119e+07,0.00913,3.3356e+07,0.16438,0.6,0.1
57,0.004,0.0099,0.0306,0.075,1,4.201733825304225,1745000.0,5.1355e+06,0.00913,1.5407e+07,0.16438,0.6,0.1
58,0.004,0.0099,0.0306,0.075,1,4.338466939733742,988000.0,2.9077e+06,0.00913,8.7231e+06,0.16438,0.6,0.1
59,0.004,0.0099,0.0306,0.075,1,4.480502166141233,5298500.0,1.5593e+07,0.00913,4.6780e+07,0.16438,0.6,0.1
60,0.004,0.0099,0.0306,0.075,1,4.166178390750184,1365000.0,4.0172e+06,0.00913,1.2052e+07,0.16438,0.6,0.1
61,0.004,0.0099,0.0306,0.075,2,2.1138855460741994,1666000.0,"9.8061e+06,6.5374e+06","0.02790,0.01860","2.9418e+07,1.9612e+07","0.50229,0.33486",0.6,0.1
62,0.004,0.0099,0.0306,0.075,1,4.0375623281621005,566000.0,1.6657e+06,0.00913,4.9972e+06,0.16438,0.6,0.1
63,0.004,0.0099,0.0306,0.075,1,4.019459911538601,648000.0,1.9071e+06,0.00913,5.7212e+06,0.16438,0.6,0.1
