BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.0032,0.0051,0.0128,0.035,1,6.249294179148876,3752600.0,4.8961e+06,0.00101,9.7923e+06,0.01206,0.2,0.1
1,0.004,0.0099,0.0306,0.075,2,2.1189008321478333,10800000.0,"6.3569e+07,4.2379e+07","0.02790,0.01860","1.9071e+08,1.2714e+08","0.50229,0.33486",0.6,0.1
2,0.004,0.012,0.04,0.1,1,4.407652793311152,29066666.666666668,1.1406e+08,0.01218,3.4217e+08,0.29197,0.8,0.1
3,0.004,0.0069,0.0187,0.0525,2,3.289176174865415,1876300.0,"9.8291e+06,6.5527e+06","0.00621,0.00414","1.9658e+07,1.3105e+07","0.07476,0.04984",0.4,0.1
4,0.003,0.006,0.015,0.035,1,,5552600.0,5.4471e+06,0.00076,1.2256e+07,0.00856,0.3,0.4
5,0.004,0.0099,0.0306,0.075,2,2.1087679058100233,53447600.0,"3.1459e+08,2.0973e+08","0.02790,0.01860","9.4378e+08,6.2919e+08","0.50229,0.33486",0.6,0.1
6,0.004,0.0099,0.0306,0.075,2,2.308900263256674,34428300.0,"2.0264e+08,1.3510e+08","0.02790,0.01860","6.0793e+08,4.0529e+08","0.50229,0.33486",0.6,0.1
7,0.004,0.0099,0.0306,0.075,3,2.5337839630782324,305107000.0,"1.7959e+09,1.4965e+09,8.9793e+08","0.01063,0.00886,0.00532","4.4896e+09,3.7414e+09,2.2448e+09","0.16118,0.13431,0.08059",0.4,0.1
8,0.004,0.0099,0.0306,0.075,2,2.084099723240108,100118000.0,"5.8929e+08,3.9286e+08","0.02790,0.01860","1.7679e+09,1.1786e+09","0.50229,0.33486",0.6,0.1
9,0.004,0.0099,0.0306,0.075,1,4.384545083360379,39693600.0,1.1682e+08,0.00913,3.5045e+08,0.16438,0.6,0.1
10,0.004,0.0099,0.0306,0.075,1,4.16946191287589,14850000.0,4.3704e+07,0.00913,1.3111e+08,0.16438,0.6,0.1
11,0.004,0.0099,0.0306,0.075,2,2.0844899691358982,13513166.666666666,"7.9538e+07,5.3026e+07","0.02790,0.01860","2.3862e+08,1.5908e+08","0.50229,0.33486",0.6,0.1
12,0.004,0.0099,0.0306,0.075,1,4.319138616406237,19166166.666666668,5.6406e+07,0.00913,1.6922e+08,0.16438,0.6,0.1
