BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0099,0.0306,0.075,1,4.374505925404213,1130000.0,3.3256e+06,0.00913,9.9768e+06,0.16438,0.6,0.1
1,0.004,0.0084,0.0232,0.06,1,6.054002377565239,34575300.0,6.7837e+07,0.00152,1.6959e+08,0.02283,0.4,0.4
2,0.004,0.0099,0.0306,0.075,1,4.407652793311152,935000.0,2.7517e+06,0.00913,8.2551e+06,0.16438,0.6,0.1
3,0.005,0.0087,0.0233,0.06,1,6.57835234973083,6891000.0,8.4501e+06,0.00124,2.5350e+07,0.02187,0.5,0.4
4,0.004,0.0099,0.0306,0.075,1,4.217532349493945,469075.0,1.3805e+06,0.00913,4.1415e+06,0.16438,0.6,0.1
5,0.004,0.0099,0.0306,0.075,1,4.2175358116200465,19280000.0,5.6741e+07,0.00913,1.7022e+08,0.16438,0.6,0.1
6,0.004,0.0099,0.0306,0.075,1,4.617800526513348,2270000.0,6.6806e+06,0.00913,2.0042e+07,0.16438,0.6,0.1
7,0.004,0.0099,0.0306,0.075,1,4.434121935386906,46074333.333333336,1.3560e+08,0.00913,4.0679e+08,0.16438,0.6,0.1
8,0.004,0.012,0.04,0.1,1,4.168199446480216,19107500.0,7.4978e+07,0.01218,2.2493e+08,0.29197,0.8,0.1
9,0.004,0.0099,0.0306,0.075,1,4.384545083360379,5614000.0,1.6522e+07,0.00913,4.9566e+07,0.16438,0.6,0.1
10,0.004,0.012,0.04,0.1,1,4.16946191287589,1390000.0,5.4544e+06,0.01218,1.6363e+07,0.29197,0.8,0.1
11,0.004,0.012,0.04,0.1,1,4.1689799382717965,7781000.0,3.0533e+07,0.01218,9.1598e+07,0.29197,0.8,0.1
12,0.004,0.0099,0.0306,0.075,1,4.319138616406237,670000.0,1.9718e+06,0.00913,5.9154e+06,0.16438,0.6,0.1
13,0.004,0.0099,0.0306,0.075,1,3.877900357591337,9726000.0,2.8624e+07,0.00913,8.5871e+07,0.16438,0.6,0.1
14,0.004,0.012,0.04,0.1,1,3.9145954188781236,972500.0,3.8161e+06,0.01218,1.1448e+07,0.29197,0.8,0.1
15,0.004,0.0099,0.0306,0.075,1,4.148901075048982,4863000.0,1.4312e+07,0.00913,4.2935e+07,0.16438,0.6,0.1
16,0.004,0.012,0.04,0.1,1,4.056482904224699,36783000.0,1.4434e+08,0.01218,4.3301e+08,0.29197,0.8,0.1
17,0.004,0.0099,0.0306,0.075,1,4.334777320423327,4412000.0,1.2985e+07,0.00913,3.8954e+07,0.16438,0.6,0.1
18,0.004,0.0099,0.0306,0.075,1,4.077796099051221,972500.0,2.8621e+06,0.00913,8.5862e+06,0.16438,0.6,0.1
19,0.004,0.0099,0.0306,0.075,1,3.9762640174894144,2188222.222222222,6.4399e+06,0.00913,1.9320e+07,0.16438,0.6,0.1
20,0.004,0.0099,0.0306,0.075,1,4.591654023625513,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
21,0.004,0.0099,0.0306,0.075,1,4.219299248583626,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
22,0.004,0.0099,0.0306,0.075,1,4.2816321685022,1600000.0,4.7088e+06,0.00913,1.4126e+07,0.16438,0.6,0.1
23,0.004,0.012,0.04,0.1,1,3.9737906591891012,5335000.0,2.0935e+07,0.01218,6.2804e+07,0.29197,0.8,0.1
24,0.004,0.0099,0.0306,0.075,1,4.152617001300844,6808500.0,2.0037e+07,0.00913,6.0112e+07,0.16438,0.6,0.1
25,0.004,0.0099,0.0306,0.075,1,4.290932193817834,14300000.0,4.2085e+07,0.00913,1.2625e+08,0.16438,0.6,0.1
26,0.005,0.0087,0.0233,0.06,1,5.755081130760018,5563000.0,6.8216e+06,0.00124,2.0465e+07,0.02187,0.5,0.4
27,0.004,0.0099,0.0306,0.075,1,4.348116554502082,40758000.0,1.1995e+08,0.00913,3.5985e+08,0.16438,0.6,0.1
28,0.004,0.0099,0.0306,0.075,1,4.140952939401843,21322000.0,6.2751e+07,0.00913,1.8825e+08,0.16438,0.6,0.1
29,0.004,0.0099,0.0306,0.075,1,4.205415867860995,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
30,0.004,0.0099,0.0306,0.075,1,4.140731834503412,1545000.0,4.5469e+06,0.00913,1.3641e+07,0.16438,0.6,0.1
31,0.004,0.0099,0.0306,0.075,1,4.68128096838595,1455000.0,4.2821e+06,0.00913,1.2846e+07,0.16438,0.6,0.1
32,0.005,0.0087,0.0233,0.06,1,7.3102649205140775,364000.0,7.1417e+05,0.00199,1.4283e+06,0.02411,0.4,0.0
33,0.004,0.0099,0.0306,0.075,1,4.047390400964395,1972500.0,5.8051e+06,0.00913,1.7415e+07,0.16438,0.6,0.1
34,0.004,0.0099,0.0306,0.075,1,4.446357048182077,970000.0,2.8547e+06,0.00913,8.5641e+06,0.16438,0.6,0.1
35,0.004,0.0099,0.0306,0.075,1,4.014511583071465,1457500.0,4.2894e+06,0.00913,1.2868e+07,0.16438,0.6,0.1
36,0.004,0.0099,0.0306,0.075,1,4.311996639181744,5620500.0,1.6541e+07,0.00913,4.9623e+07,0.16438,0.6,0.1
37,0.004,0.0099,0.0306,0.075,1,3.8689160147226938,5226666.666666667,1.5382e+07,0.00913,4.6146e+07,0.16438,0.6,0.1
38,0.004,0.0099,0.0306,0.075,1,3.9930229355368603,1542500.0,4.5396e+06,0.00913,1.3619e+07,0.16438,0.6,0.1
39,0.004,0.0099,0.0306,0.075,1,4.309409708878292,648333.3333333334,1.9080e+06,0.00913,5.7241e+06,0.16438,0.6,0.1
40,0.004,0.0099,0.0306,0.075,1,4.4277041689988925,1637500.0,4.8192e+06,0.00913,1.4457e+07,0.16438,0.6,0.1
41,0.004,0.0099,0.0306,0.075,1,4.303920228878038,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
42,0.004,0.0099,0.0306,0.075,1,4.24259648488045,2917500.0,8.5862e+06,0.00913,2.5759e+07,0.16438,0.6,0.1
43,0.004,0.0099,0.0306,0.075,1,4.203437696491307,1155000.0,3.3992e+06,0.00913,1.0197e+07,0.16438,0.6,0.1
44,0.004,0.0099,0.0306,0.075,1,3.963120717667737,1300000.0,3.8259e+06,0.00913,1.1478e+07,0.16438,0.6,0.1
45,0.004,0.0099,0.0306,0.075,1,4.116345124827045,2405000.0,7.0779e+06,0.00913,2.1234e+07,0.16438,0.6,0.1
46,0.004,0.0099,0.0306,0.075,1,4.170041283566784,1310000.0,3.8553e+06,0.00913,1.1566e+07,0.16438,0.6,0.1
47,0.004,0.0099,0.0306,0.075,1,4.498814806514645,155000.0,4.5616e+05,0.00913,1.3685e+06,0.16438,0.6,0.1
48,0.004,0.0099,0.0306,0.075,1,4.341147824882058,1127500.0,3.3182e+06,0.00913,9.9547e+06,0.16438,0.6,0.1
49,0.004,0.0099,0.0306,0.075,1,3.9071408522508366,4155000.0,1.2228e+07,0.00913,3.6684e+07,0.16438,0.6,0.1
50,0.004,0.0099,0.0306,0.075,1,4.3369098263028745,8465000.0,2.4912e+07,0.00913,7.4737e+07,0.16438,0.6,0.1
51,0.004,0.0099,0.0306,0.075,1,4.185824762642598,10185500.0,2.9976e+07,0.00913,8.9928e+07,0.16438,0.6,0.1
52,0.004,0.0099,0.0306,0.075,1,4.125188742223024,6047333.333333334,1.7797e+07,0.00913,5.3392e+07,0.16438,0.6,0.1
53,0.004,0.012,0.04,0.1,1,4.39972345972979,2269166.666666667,8.9042e+06,0.01218,2.6713e+07,0.29197,0.8,0.1
54,0.004,0.012,0.04,0.1,1,4.492942581994255,3155000.0,1.2380e+07,0.01218,3.7141e+07,0.29197,0.8,0.1
55,0.004,0.012,0.04,0.1,1,4.4705966586561345,3890000.0,1.5264e+07,0.01218,4.5793e+07,0.29197,0.8,0.1
56,0.004,0.0099,0.0306,0.075,1,4.091849213376598,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
57,0.004,0.012,0.04,0.1,1,4.201733825304225,9420000.0,3.6964e+07,0.01218,1.1089e+08,0.29197,0.8,0.1
58,0.004,0.0099,0.0306,0.075,1,4.338466939733742,1472500.0,4.3336e+06,0.00913,1.3001e+07,0.16438,0.6,0.1
59,0.004,0.0099,0.0306,0.075,1,4.480502166141233,1037500.0,3.0534e+06,0.00913,9.1601e+06,0.16438,0.6,0.1
60,0.004,0.0099,0.0306,0.075,1,4.166178390750184,1245000.0,3.6640e+06,0.00913,1.0992e+07,0.16438,0.6,0.1
61,0.004,0.0099,0.0306,0.075,1,4.227771092148399,1472500.0,4.3336e+06,0.00913,1.3001e+07,0.16438,0.6,0.1
62,0.004,0.0099,0.0306,0.075,1,4.0375623281621005,1477500.0,4.3483e+06,0.00913,1.3045e+07,0.16438,0.6,0.1
63,0.004,0.0099,0.0306,0.075,1,4.019459911538601,1672500.0,4.9222e+06,0.00913,1.4767e+07,0.16438,0.6,0.1
64,0.004,0.0099,0.0306,0.075,1,4.444130183500375,1000000.0,2.9430e+06,0.00913,8.8290e+06,0.16438,0.6,0.1
65,0.004,0.0099,0.0306,0.075,1,4.566604248560617,1000000.0,2.9430e+06,0.00913,8.8290e+06,0.16438,0.6,0.1
66,0.004,0.0099,0.0306,0.075,1,4.2518635465246275,1480000.0,4.3556e+06,0.00913,1.3067e+07,0.16438,0.6,0.1
67,0.004,0.0099,0.0306,0.075,1,4.486776518623739,846666.6666666667,2.4917e+06,0.00913,7.4752e+06,0.16438,0.6,0.1
68,0.004,0.0099,0.0306,0.075,1,4.345060469701654,1622500.0,4.7750e+06,0.00913,1.4325e+07,0.16438,0.6,0.1
69,0.004,0.0099,0.0306,0.075,1,4.131753473466829,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
70,0.004,0.0099,0.0306,0.075,1,4.345008238143791,2445000.0,7.1956e+06,0.00913,2.1587e+07,0.16438,0.6,0.1
71,0.004,0.0099,0.0306,0.075,1,4.608303121330937,2920000.0,8.5936e+06,0.00913,2.5781e+07,0.16438,0.6,0.1
72,0.004,0.0099,0.0306,0.075,1,4.2595629984255385,2740000.0,8.0638e+06,0.00913,2.4191e+07,0.16438,0.6,0.1
73,0.004,0.0099,0.0306,0.075,1,4.614437877771063,3973000.0,1.1693e+07,0.00913,3.5078e+07,0.16438,0.6,0.1
74,0.004,0.0099,0.0306,0.075,1,3.743311394315711,1520000.0,4.4734e+06,0.00913,1.3420e+07,0.16438,0.6,0.1
75,0.004,0.0099,0.0306,0.075,1,4.4462142317692965,2370000.0,6.9749e+06,0.00913,2.0925e+07,0.16438,0.6,0.1
76,0.004,0.0099,0.0306,0.075,1,4.285812837921737,4790000.0,1.4097e+07,0.00913,4.2291e+07,0.16438,0.6,0.1
77,0.004,0.0099,0.0306,0.075,1,4.20387831238881,2975000.0,8.7554e+06,0.00913,2.6266e+07,0.16438,0.6,0.1
78,0.004,0.0099,0.0306,0.075,1,4.286823060541176,1265000.0,3.7229e+06,0.00913,1.1169e+07,0.16438,0.6,0.1
79,0.004,0.0099,0.0306,0.075,1,3.8635228732397398,9847500.0,2.8981e+07,0.00913,8.6944e+07,0.16438,0.6,0.1
80,0.004,0.0099,0.0306,0.075,1,4.220587262322964,232050000.0,6.8292e+08,0.00913,2.0488e+09,0.16438,0.6,0.1
81,0.004,0.0099,0.0306,0.075,1,4.344077846869795,28820000.0,8.4817e+07,0.00913,2.5445e+08,0.16438,0.6,0.1
82,0.004,0.0099,0.0306,0.075,1,4.59446618793031,17508000.0,5.1526e+07,0.00913,1.5458e+08,0.16438,0.6,0.1
83,0.004,0.0099,0.0306,0.075,1,4.158042304106825,2352500.0,6.9234e+06,0.00913,2.0770e+07,0.16438,0.6,0.1
84,0.004,0.0099,0.0306,0.075,1,4.098139926485283,2612500.0,7.6886e+06,0.00913,2.3066e+07,0.16438,0.6,0.1
85,0.004,0.0099,0.0306,0.075,1,4.1614768457379805,1945000.0,5.7241e+06,0.00913,1.7172e+07,0.16438,0.6,0.1
86,0.004,0.0099,0.0306,0.075,1,4.467048860137817,3296666.6666666665,9.7021e+06,0.00913,2.9106e+07,0.16438,0.6,0.1
87,0.004,0.0099,0.0306,0.075,1,4.3379219927201245,2042500.0,6.0111e+06,0.00913,1.8033e+07,0.16438,0.6,0.1
88,0.004,0.0099,0.0306,0.075,1,4.1556541978674035,648333.3333333334,1.9080e+06,0.00913,5.7241e+06,0.16438,0.6,0.1
89,0.004,0.0099,0.0306,0.075,1,4.3781280452411275,648333.3333333334,1.9080e+06,0.00913,5.7241e+06,0.16438,0.6,0.1
