BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
0,0.004,0.0069,0.0187,0.0525,1,6.249294179148876,521187.89286497986,1.3651e+06,0.00203,2.7303e+06,0.02447,0.4,0.1
1,0.004,0.008,0.024,0.07,1,6.054002377565239,441387.1936569447,2.3079e+06,0.00406,4.6158e+06,0.06483,0.6,0.1
2,0.004,0.012,0.04,0.1,1,4.407652793311152,496590.23051093385,1.9486e+06,0.01218,5.8459e+06,0.29197,0.8,0.1
3,0.004,0.008,0.024,0.07,1,6.57835234973083,401322.1955565009,2.0984e+06,0.00406,4.1968e+06,0.06483,0.6,0.1
4,0.004,0.012,0.04,0.1,1,4.217532349493945,940548.6362143864,3.6907e+06,0.01218,1.1072e+07,0.29197,0.8,0.1
6,0.004,0.012,0.04,0.1,1,4.2175358116200465,632172.021590126,2.4806e+06,0.01218,7.4419e+06,0.29197,0.8,0.1
7,0.004,0.008,0.024,0.07,1,6.5968578950190695,489185.52174543607,2.5578e+06,0.00406,5.1156e+06,0.06483,0.6,0.1
8,0.004,0.008,0.024,0.07,2,3.1672299538477904,682367.2977822678,"7.1358e+06,4.7572e+06","0.01239,0.00826","1.4272e+07,9.5144e+06","0.19812,0.13208",0.6,0.1
9,0.004,0.012,0.04,0.1,1,4.168199446480216,331041.561269753,1.2990e+06,0.01218,3.8970e+06,0.29197,0.8,0.1
10,0.004,0.012,0.04,0.1,1,4.384545083360379,774983.1778462955,3.0410e+06,0.01218,9.1231e+06,0.29197,0.8,0.1
11,0.004,0.008,0.024,0.07,1,5.956374161251271,880382.4151940191,4.6033e+06,0.00406,9.2066e+06,0.06483,0.6,0.1
12,0.004,0.012,0.04,0.1,1,4.1689799382717965,413860.3685192396,1.6240e+06,0.01218,4.8720e+06,0.29197,0.8,0.1
13,0.004,0.012,0.04,0.1,1,4.319138616406237,351164.8285633309,1.3780e+06,0.01218,4.1339e+06,0.29197,0.8,0.1
14,0.004,0.008,0.024,0.07,1,5.53985765370191,331124.74969654536,1.7314e+06,0.00406,3.4627e+06,0.06483,0.6,0.1
15,0.004,0.008,0.024,0.07,1,5.592279169825891,541841.2133796151,2.8331e+06,0.00406,5.6663e+06,0.06483,0.6,0.1
16,0.006,0.012,0.03,0.08,2,3.556200921470556,662272.2972187791,"3.2484e+06,2.1656e+06","0.01186,0.00791","9.7453e+06,6.4969e+06","0.28588,0.19058",1.0,0.0
17,0.004,0.012,0.04,0.1,1,4.056482904224699,358733.04379065754,1.4077e+06,0.01218,4.2230e+06,0.29197,0.8,0.1
18,0.004,0.008,0.024,0.07,1,6.1925390291761815,381327.8038448666,1.9939e+06,0.00406,3.9877e+06,0.06483,0.6,0.1
19,0.004,0.012,0.04,0.1,1,4.077796099051221,511787.8135772,2.0083e+06,0.01218,6.0248e+06,0.29197,0.8,0.1
20,0.004,0.012,0.04,0.1,1,3.9762640174894144,677124.4395485597,2.6570e+06,0.01218,7.9711e+06,0.29197,0.8,0.1
21,0.004,0.008,0.024,0.07,1,6.5595057480364485,1158700.2245673924,6.0585e+06,0.00406,1.2117e+07,0.06483,0.6,0.1
22,0.004,0.012,0.04,0.1,1,4.219299248583626,511636.6642083645,2.0077e+06,0.01218,6.0230e+06,0.29197,0.8,0.1
23,0.004,0.012,0.04,0.1,1,4.2816321685022,825158.0445384219,3.2379e+06,0.01218,9.7138e+06,0.29197,0.8,0.1
24,0.004,0.012,0.04,0.1,1,3.9737906591891012,358654.65824068023,1.4074e+06,0.01218,4.2221e+06,0.29197,0.8,0.1
25,0.004,0.012,0.04,0.1,1,4.152617001300844,511653.5228221953,2.0077e+06,0.01218,6.0232e+06,0.29197,0.8,0.1
26,0.004,0.012,0.04,0.1,1,4.290932193817834,1356890.1906987468,5.3244e+06,0.01218,1.5973e+07,0.29197,0.8,0.1
27,0.004,0.012,0.04,0.1,1,4.028556791532012,376236.59253989474,1.4764e+06,0.01218,4.4291e+06,0.29197,0.8,0.1
28,0.004,0.008,0.024,0.07,1,6.2115950778601166,421385.607740961,2.2033e+06,0.00406,4.4066e+06,0.06483,0.6,0.1
29,0.004,0.012,0.04,0.1,1,4.140952939401843,326076.50774443994,1.2795e+06,0.01218,3.8386e+06,0.29197,0.8,0.1
30,0.004,0.008,0.024,0.07,2,3.003868477043568,210698.82877869374,"2.2034e+06,1.4689e+06","0.01239,0.00826","4.4067e+06,2.9378e+06","0.19812,0.13208",0.6,0.1
31,0.004,0.008,0.024,0.07,1,5.915331192147732,481595.0454560909,2.5181e+06,0.00406,5.0363e+06,0.06483,0.6,0.1
32,0.004,0.012,0.04,0.1,2,2.340640484192975,737452.8793716107,"5.7875e+06,3.8584e+06","0.03721,0.02480","1.7363e+07,1.1575e+07","0.89218,0.59479",0.8,0.1
34,0.004,0.012,0.04,0.1,2,2.132160601816606,351180.55038894387,"2.7561e+06,1.8374e+06","0.03721,0.02480","8.2682e+06,5.5121e+06","0.89218,0.59479",0.8,0.1
35,0.005,0.01,0.03,0.08,1,5.781986287091994,391322.629482874,9.5972e+05,0.00248,2.8792e+06,0.05994,0.5,0.4
37,0.004,0.008,0.024,0.07,1,6.35193864026011,316094.0462149939,1.6528e+06,0.00406,3.3055e+06,0.06483,0.6,0.1
38,0.004,0.012,0.04,0.1,1,4.014511583071465,351220.51217921515,1.3782e+06,0.01218,4.1346e+06,0.29197,0.8,0.1
39,0.004,0.012,0.04,0.1,1,4.311996639181744,325998.81406553154,1.2792e+06,0.01218,3.8377e+06,0.29197,0.8,0.1
40,0.004,0.008,0.024,0.07,1,5.527022878175277,441353.27314037137,2.3077e+06,0.00406,4.6154e+06,0.06483,0.6,0.1
41,0.004,0.008,0.024,0.07,2,2.852159239669186,451386.3014836513,"4.7204e+06,3.1469e+06","0.01239,0.00826","9.4407e+06,6.2938e+06","0.19812,0.13208",0.6,0.1
42,0.004,0.008,0.024,0.07,1,6.156299584111846,564237.2640606611,2.9502e+06,0.00406,5.9005e+06,0.06483,0.6,0.1
43,0.005,0.01,0.03,0.08,1,6.3252916699984185,2334690.9146434786,5.7258e+06,0.00248,1.7177e+07,0.05994,0.5,0.4
44,0.004,0.008,0.024,0.07,1,6.148457469825769,1128501.3654331588,5.9006e+06,0.00406,1.1801e+07,0.06483,0.6,0.1
45,0.004,0.012,0.04,0.1,1,4.24259648488045,1123527.261426533,4.4087e+06,0.01218,1.3226e+07,0.29197,0.8,0.1
46,0.004,0.008,0.024,0.07,1,6.004910994987583,421332.423415336,2.2030e+06,0.00406,4.4061e+06,0.06483,0.6,0.1
47,0.004,0.012,0.04,0.1,1,3.963120717667737,361159.22904479504,1.4172e+06,0.01218,4.2516e+06,0.29197,0.8,0.1
48,0.004,0.012,0.04,0.1,1,4.116345124827045,326044.9342670643,1.2794e+06,0.01218,3.8382e+06,0.29197,0.8,0.1
49,0.004,0.008,0.024,0.07,1,5.957201833666834,120388.22196836141,6.2948e+05,0.00406,1.2590e+06,0.06483,0.6,0.1
50,0.004,0.008,0.024,0.07,1,6.426878295020922,469008.1129641116,2.4523e+06,0.00406,4.9046e+06,0.06483,0.6,0.1
51,0.004,0.012,0.04,0.1,1,4.341147824882058,511651.38542102394,2.0077e+06,0.01218,6.0232e+06,0.29197,0.8,0.1
52,0.004,0.008,0.024,0.07,1,5.581629788929767,501624.8261096293,2.6229e+06,0.00406,5.2457e+06,0.06483,0.6,0.1
53,0.004,0.008,0.024,0.07,1,6.195585466146964,401303.408106954,2.0983e+06,0.00406,4.1966e+06,0.06483,0.6,0.1
54,0.004,0.012,0.04,0.1,1,4.185824762642598,830217.8956691638,3.2578e+06,0.01218,9.7733e+06,0.29197,0.8,0.1
55,0.004,0.008,0.024,0.07,1,5.893126774604321,351151.51954802574,1.8361e+06,0.00406,3.6722e+06,0.06483,0.6,0.1
56,0.004,0.012,0.04,0.1,1,4.39972345972979,795120.7872400263,3.1201e+06,0.01218,9.3602e+06,0.29197,0.8,0.1
57,0.004,0.012,0.04,0.1,1,4.492942581994255,963176.2393744711,3.7795e+06,0.01218,1.1339e+07,0.29197,0.8,0.1
58,0.004,0.008,0.024,0.07,1,6.386566655223049,401323.31733843556,2.0984e+06,0.00406,4.1968e+06,0.06483,0.6,0.1
59,0.005,0.01,0.03,0.08,2,2.9227494381261416,326079.126748679,"1.5994e+06,1.0663e+06","0.00759,0.00506","4.7983e+06,3.1988e+06","0.18317,0.12211",0.5,0.4
60,0.004,0.008,0.024,0.07,1,6.0024768932917505,749983.4255879282,3.9215e+06,0.00406,7.8429e+06,0.06483,0.6,0.1
61,0.004,0.008,0.024,0.07,1,6.1978099139053455,331097.2087275162,1.7312e+06,0.00406,3.4624e+06,0.06483,0.6,0.1
62,0.004,0.012,0.04,0.1,2,2.2402510830706164,421402.0166409483,"3.3072e+06,2.2048e+06","0.03721,0.02480","9.9215e+06,6.6143e+06","0.89218,0.59479",0.8,0.1
63,0.003,0.006,0.015,0.04,12,3.8685942199823136,263377.89719437977,"3.0385e+06,2.9995e+06,2.9216e+06,2.8047e+06,2.6489e+06,2.4542e+06,2.2204e+06,1.9477e+06,1.6361e+06,1.2855e+06,8.9596e+05,4.6746e+05","0.01918,0.01893,0.01844,0.01770,0.01672,0.01549,0.01402,0.01229,0.01033,0.00811,0.00566,0.00295","9.1154e+06,8.9986e+06,8.7648e+06,8.4142e+06,7.9468e+06,7.3625e+06,6.6613e+06,5.8432e+06,4.9083e+06,3.8565e+06,2.6879e+06,1.4024e+06","0.23106,0.22810,0.22218,0.21329,0.20144,0.18663,0.16885,0.14812,0.12442,0.09776,0.06813,0.03555",1.0,0.0
65,0.004,0.012,0.04,0.1,1,4.227771092148399,326101.05207970995,1.2796e+06,0.01218,3.8389e+06,0.29197,0.8,0.1
67,0.004,0.012,0.04,0.1,2,2.0187811640810502,484137.3887408573,"3.7995e+06,2.5330e+06","0.03721,0.02480","1.1399e+07,7.5990e+06","0.89218,0.59479",0.8,0.1
68,0.004,0.012,0.04,0.1,2,2.0097299557693007,351191.80687906116,"2.7562e+06,1.8374e+06","0.03721,0.02480","8.2685e+06,5.5123e+06","0.89218,0.59479",0.8,0.1
70,0.004,0.012,0.04,0.1,2,2.2220650917501876,275940.40693552734,"2.1656e+06,1.4437e+06","0.03721,0.02480","6.4967e+06,4.3312e+06","0.89218,0.59479",0.8,0.1
71,0.004,0.008,0.024,0.07,1,6.5237203550865965,712447.0659570238,3.7252e+06,0.00406,7.4504e+06,0.06483,0.6,0.1
72,0.004,0.008,0.024,0.07,1,6.074090780749468,391348.5776099726,2.0463e+06,0.00406,4.0925e+06,0.06483,0.6,0.1
73,0.004,0.008,0.024,0.07,1,6.409680740891057,316087.1417567651,1.6527e+06,0.00406,3.3055e+06,0.06483,0.6,0.1
74,0.004,0.012,0.04,0.1,2,2.172530234850827,1339607.5734756463,"1.0513e+07,7.0088e+06","0.03721,0.02480","3.1540e+07,2.1026e+07","0.89218,0.59479",0.8,0.1
75,0.004,0.012,0.04,0.1,1,4.131753473466829,900606.3417114523,3.5340e+06,0.01218,1.0602e+07,0.29197,0.8,0.1
76,0.004,0.008,0.024,0.07,1,6.207154625919701,361247.0824443853,1.8889e+06,0.00406,3.7777e+06,0.06483,0.6,0.1
77,0.004,0.012,0.04,0.1,2,2.3041515606654683,358742.09661522426,"2.8154e+06,1.8769e+06","0.03721,0.02480","8.4462e+06,5.6308e+06","0.89218,0.59479",0.8,0.1
78,0.004,0.008,0.024,0.07,1,6.085089997750769,331145.86724682845,1.7315e+06,0.00406,3.4629e+06,0.06483,0.6,0.1
80,0.004,0.012,0.04,0.1,1,4.614437877771063,406414.33330988593,1.5948e+06,0.01218,4.7843e+06,0.29197,0.8,0.1
81,0.004,0.012,0.04,0.1,2,1.8716556971578555,1163570.7906596237,"9.1317e+06,6.0878e+06","0.03721,0.02480","2.7395e+07,1.8263e+07","0.89218,0.59479",0.8,0.1
82,0.004,0.012,0.04,0.1,1,4.4462142317692965,521602.9710894256,2.0468e+06,0.01218,6.1403e+06,0.29197,0.8,0.1
83,0.004,0.012,0.04,0.1,1,4.285812837921737,489005.7422922527,1.9189e+06,0.01218,5.7566e+06,0.29197,0.8,0.1
84,0.004,0.012,0.04,0.1,1,4.20387831238881,609423.457336181,2.3914e+06,0.01218,7.1741e+06,0.29197,0.8,0.1
85,0.004,0.008,0.024,0.07,1,6.124032943630251,596890.351350261,3.1210e+06,0.00406,6.2420e+06,0.06483,0.6,0.1
86,0.004,0.008,0.024,0.07,1,5.519318390342486,361146.8834620137,1.8883e+06,0.00406,3.7767e+06,0.06483,0.6,0.1
87,0.004,0.012,0.04,0.1,1,4.220587262322964,551748.9053409022,2.1651e+06,0.01218,6.4952e+06,0.29197,0.8,0.1
88,0.004,0.012,0.04,0.1,1,4.344077846869795,421340.5941994955,1.6533e+06,0.01218,4.9600e+06,0.29197,0.8,0.1
89,0.004,0.008,0.024,0.07,1,6.563523125614729,1025769.7693950183,5.3635e+06,0.00406,1.0727e+07,0.06483,0.6,0.1
90,0.004,0.012,0.04,0.1,1,4.158042304106825,521659.93244877254,2.0470e+06,0.01218,6.1410e+06,0.29197,0.8,0.1
